,accuracy,precision,recall,f1_score,auc_roc
Decision Tree,0.889589905362776,0.8755959519229304,0.889589905362776,0.8693734831478522,0.7083686980139194
Gradient Boosting,0.886435331230284,0.8722404440080501,0.886435331230284,0.8617834221690417,0.8166694958411137
Support Vector Machine,0.8769716088328076,0.8625897113921983,0.8769716088328076,0.8384489464117078,0.904642675267357
Multinomial Naive Bayes,0.8769716088328076,0.8717799168923557,0.8769716088328076,0.834412755638533,0.8387794941436089
Logistic Regression,0.8675078864353313,0.834926797702823,0.8675078864353313,0.8193589108644396,0.8864793753182821
Random Forest,0.8643533123028391,0.7471066484888893,0.8643533123028391,0.8014646618307205,0.8566881683924631
