Model,Accuracy_Mean,Accuracy_Std,F1_Weighted_Mean,F1_Weighted_Std,F1_Macro_Mean,F1_Macro_Std,Precision_Weighted_Mean,Recall_Weighted_Mean
SVM,0.9212237862995526,0.01687178790261753,0.9181830529824337,0.01914130830707534,0.8183104934995399,0.04590453929739125,0.9170384746538931,0.9212237862995526
Naive Bayes,0.8945237357343642,0.0142239597394205,0.8960686236700692,0.015145913676956628,0.780632196207802,0.0359331356517187,0.8987537043326966,0.8945237357343642
Decision Tree,0.7073102038375172,0.01706229324292241,0.7521823758586456,0.01412758613430141,0.6088971174703571,0.021510772745724466,0.8598785491531729,0.7073102038375172
