Model,Accuracy,Precision_Weighted,Recall_Weighted,F1_Weighted,Precision_Macro,Recall_Macro,F1_Macro
indobenchmark/indobert-base-p1,0.9275123558484348,0.9275123558484348,0.9275123558484348,0.9275123558484348,0.8449012775842044,0.8449012775842044,0.8449012775842044
SVM,0.9242174629324548,0.9221002272525756,0.9242174629324548,0.9229938452992796,0.843938943403707,0.8224157955865273,0.8326500767165324
Random Forest,0.9060955518945636,0.9096853642417568,0.9060955518945636,0.9077024571645492,0.7960934449698495,0.8170847851335656,0.806008309364014
Naive Bayes,0.8929159802306426,0.9006205697780283,0.8929159802306426,0.8961772329234424,0.7693462171052632,0.8043205574912893,0.7850437757764956
Logistic Regression,0.8747940691927513,0.9020880622714464,0.8747940691927513,0.8842201604301968,0.7429928131416839,0.8298606271777004,0.7743317810041874
Gradient Boosting,0.8088962108731467,0.8813378315624205,0.8088962108731467,0.8320261843301132,0.6756222035794184,0.7917653890824623,0.7006597966193926
Decision Tree,0.7051070840197694,0.8672338806436631,0.7051070840197694,0.7507975141335089,0.6229407823294286,0.7472009291521486,0.6131045852873416
