Class,Precision,Recall,F1-Score,Support
negative,0.7317073170731707,0.7317073170731707,0.7317073170731707,82.0
positive,0.9580952380952381,0.9580952380952381,0.9580952380952381,525.0
macro avg,0.8449012775842044,0.8449012775842044,0.8449012775842044,607.0
weighted avg,0.9275123558484349,0.9275123558484349,0.9275123558484349,607.0
